État,Effet exact,Durée,Sources
Bouclier (Quen/rempart),Absorbe les dégâts avant les PV ("abs=min(bouclier,d)"),Jusqu'à épuisement,"Quen (12 / sorcière 20), Rempart (+15), trophée couronne (+2)"
Parade,Prochaine attaque ennemie : 65% de blocage total ; si Sorceleur loup → prépare Riposte,Consommée à l'attaque suivante,Action Parade
Riposte,Prochaine attaque du héros "×1,6",Consommée au prochain coup,Parade réussie (loup)
Cri de guerre,Dégâts du héros "×1,5",2 tours,Cri du Mercenaire
Foudre,Dégâts du héros "×1,5",n tours (décrémente),Potion Foudre
Chat,+35 à l'esquive,n tours,Potion du Chat
Régénération,+regen PV par tour,regenN tours,Hirondelle
Poison (héros),−poisonH PV par tour (valeur codée : 5", 2 tours)",poisonHN tours,Attaques ennemies fx poison
Peur,Dégâts du héros "×0,75",2 tours,"Hurlement, attaques fx peur"
Sonné,Dégâts du héros "×0,6",2 tours,"Tornade du Griffon, swoop"
Déséquilibré,Dégâts subis "×1,3" ET esquive −30,1 round (remis à 0 en fin de tour),Tourbillon (loup/mercenaire)
Béni,Dégâts du héros "×1,1",Tout le combat,Événement (bénédiction)
Vampirisme,Soigne 50% des dégâts infligés,n coups (décrémente par touche),Rune de sang
